Region,Market,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
United Kingdom,Video Advertising,Average Ad Spending per Internet User,Video Advertising Desktop,USD (US$),Statista,23.633,26.878,27.196,26.522,31.385,32.341,31.413,29.576,26.926,29.21
United Kingdom,Video Advertising,Average Ad Spending per Internet User,Video Advertising Mobile,USD (US$),Statista,17.063,23.371,28.432,33.162,44.685,54.357,62.995,72.069,82.599,89.278
United Kingdom,Video Advertising,Users by Age,18-24 years,percent,"Statista,Statista Global Consumer Survey",,,,,15.446,,,,,
United Kingdom,Video Advertising,Users by Age,25-34 years,percent,"Statista,Statista Global Consumer Survey",,,,,26.316,,,,,
United Kingdom,Video Advertising,Users by Age,35-44 years,percent,"Statista,Statista Global Consumer Survey",,,,,23.341,,,,,
United Kingdom,Video Advertising,Users by Age,45-54 years,percent,"Statista,Statista Global Consumer Survey",,,,,20.995,,,,,
United Kingdom,Video Advertising,Users by Age,55-64 years,percent,"Statista,Statista Global Consumer Survey",,,,,13.902,,,,,
United Kingdom,Video Advertising,Users by Gender,female,percent,"Statista,Statista Global Consumer Survey",,,,,48.856,,,,,
United Kingdom,Video Advertising,Users by Gender,male,percent,"Statista,Statista Global Consumer Survey",,,,,51.144,,,,,
United Kingdom,Video Advertising,Users by Income,high income,percent,"Statista,Statista Global Consumer Survey",,,,,33.29,,,,,
United Kingdom,Video Advertising,Users by Income,low income,percent,"Statista,Statista Global Consumer Survey",,,,,31.922,,,,,
United Kingdom,Video Advertising,Users by Income,medium income,percent,"Statista,Statista Global Consumer Survey",,,,,34.788,,,,,
United Kingdom,Video Advertising,Top Company Revenues (Worldwide & Consolidated),"Alphabet, Inc.",million USD (US$),Statista Company DB,"111,024","136,958","161,402","182,350",,,,,,
United Kingdom,Video Advertising,Top Company Revenues (Worldwide & Consolidated),Comcast Corp.,million USD (US$),Statista Company DB,"85,029","94,507","108,942","103,564",,,,,,
United Kingdom,Video Advertising,Top Company Revenues (Worldwide & Consolidated),"Facebook, Inc.",million USD (US$),Statista Company DB,"40,653","55,838","70,697","85,965",,,,,,
United Kingdom,Video Advertising,Top Company Revenues (Worldwide & Consolidated),Kuaishou Technology,million USD (US$),Statista Company DB,"1,233.99","3,067.948","5,661.53","8,515.517",,,,,,
United Kingdom,Video Advertising,Top Company Revenues (Worldwide & Consolidated),"Pinterest, Inc.",million USD (US$),Statista Company DB,472.852,755.932,"1,142.761","1,692.658",,,,,,
United Kingdom,Video Advertising,Top Company Revenues (Worldwide & Consolidated),"Snap, Inc.",million USD (US$),Statista Company DB,824.949,"1,180.446","1,715.534","2,506.626",,,,,,
United Kingdom,Video Advertising,Top Company Revenues (Worldwide & Consolidated),The Walt Disney Co.,million USD (US$),Statista Company DB,"54,943","59,469","69,422","65,125",,,,,,
United Kingdom,Video Advertising,Top Company Revenues (Worldwide & Consolidated),"Twitter, Inc.",million USD (US$),Statista Company DB,"2,443.299","3,042.359","3,459.329","3,716.349",,,,,,
United Kingdom,Video Advertising,Top Company Revenues (Worldwide & Consolidated),"Vimeo, Inc.",million USD (US$),Statista Company DB,9.848,15.184,56.948,50.267,,,,,,
